ONCENTER,,OFFCENTER
,,
"4965,0,0",,"4965,0,0"
,,
"4965,0,0",,"4965,0,0"
,,
"4965,0,0",,"4965,0,0"
,,
"4965,0,0",,"4965,0,0"
,,
"4965,0,0",,"4965,0,0"
,,
"4965,0,0",,"4965,0,0"
,,
"4966,1,6",,"4966,-1,0"
,,
"4966,0,0",,"4966,0,0"
,,
"4966,0,0",,"4966,0,0"
,,
"4966,0,0",,"4966,0,0"
,,
"4966,0,0",,"4966,0,0"
,,
"4966,0,0",,"4966,0,0"
,,
"4966,0,0",,"4966,0,0"
,,
"4966,0,0",,"4966,0,0"
,,
"4966,0,0",,"4966,0,0"
,,
"4967,1,6",,"4967,-1,0"
,,
"4967,-3,0",,"4967,3,4"
,,
"4967,-3,0",,"4967,3,4"
,,
"4967,0,0",,"4967,0,0"
,,
"4967,0,0",,"4967,0,0"
,,
"4967,0,0",,"4967,0,0"
,,
"4967,0,0",,"4967,0,0"
,,
"4967,0,0",,"4967,0,0"
,,
"4967,0,0",,"4967,0,0"
,,
"4968,0,0",,"4968,0,0"
,,
"4968,0,0",,"4968,0,0"
,,
"4968,0,0",,"4968,0,0"
,,
"4968,0,0",,"4968,0,0"
,,
"4968,0,0",,"4968,0,0"
,,
"4968,0,0",,"4968,0,0"
,,
"4968,0,0",,"4968,0,0"
,,
"4968,0,0",,"4968,0,0"
,,
"4968,0,0",,"4968,0,0"
,,
"4969,0,0",,"4969,0,0"
,,
"4969,2,5",,"4969,-2,0"
,,
"4969,0,0",,"4969,0,0"
,,
"4969,0,0",,"4969,0,0"
,,
"4969,0,0",,"4969,0,0"
,,
"4969,0,0",,"4969,0,0"
,,
"4969,0,0",,"4969,0,0"
,,
"4969,0,0",,"4969,0,0"
,,
"4969,0,0",,"4969,0,0"
,,
"4970,0,0",,"4970,0,0"
,,
"4970,0,0",,"4970,0,0"
,,
"4970,0,0",,"4970,0,0"
,,
"4970,0,0",,"4970,0,0"
,,
"4970,0,0",,"4970,0,0"
,,
"4970,0,0",,"4970,0,0"
,,
"4970,0,0",,"4970,0,0"
,,
"4970,0,0",,"4970,0,0"
,,
"4970,0,0",,"4970,0,0"
,,
"4971,2,5",,"4971,-2,0"
,,
"4971,1,6",,"4971,-1,0"
,,
"4971,0,0",,"4971,0,0"
,,
"4971,0,0",,"4971,0,0"
,,
"4971,0,0",,"4971,0,0"
,,
"4971,0,0",,"4971,0,0"
,,
"4971,0,0",,"4971,0,0"
,,
"4971,0,0",,"4971,0,0"
,,
"4971,0,0",,"4971,0,0"
,,
"4972,0,0",,"4972,0,0"
,,
"4972,0,0",,"4972,0,0"
,,
"4972,0,0",,"4972,0,0"
,,
"4972,0,0",,"4972,0,0"
,,
"4972,0,0",,"4972,0,0"
,,
"4972,0,0",,"4972,0,0"
,,
"4972,0,0",,"4972,0,0"
,,
"4972,0,0",,"4972,0,0"
,,
"4972,0,0",,"4972,0,0"
,,
"4973,0,0",,"4973,0,0"
,,
"4973,0,0",,"4973,0,0"
,,
"4973,0,0",,"4973,0,0"
,,
"4973,0,0",,"4973,0,0"
,,
"4973,0,0",,"4973,0,0"
,,
"4973,0,0",,"4973,0,0"
,,
"4973,0,0",,"4973,0,0"
,,
"4973,0,0",,"4973,0,0"
,,
"4973,0,0",,"4973,0,0"
,,
"4974,-1,0",,"4974,1,6"
,,
"4974,2,5",,"4974,-2,0"
,,
"4974,1,6",,"4974,-1,0"
,,
"4974,0,0",,"4974,0,0"
,,
"4974,0,0",,"4974,0,0"
,,
"4974,0,0",,"4974,0,0"
,,
"4974,0,0",,"4974,0,0"
,,
"4974,0,0",,"4974,0,0"
,,
"4974,0,0",,"4974,0,0"
,,
"4975,0,0",,"4975,0,0"
,,
"4975,0,0",,"4975,0,0"
,,
"4975,0,0",,"4975,0,0"
,,
"4975,0,0",,"4975,0,0"
,,
"4975,0,0",,"4975,0,0"
,,
"4975,0,0",,"4975,0,0"
,,
"4975,0,0",,"4975,0,0"
,,
"4975,0,0",,"4975,0,0"
,,
"4975,0,0",,"4975,0,0"
,,
"4976,1,6",,"4976,-1,0"
,,
"4976,0,0",,"4976,0,0"
,,
"4976,0,0",,"4976,0,0"
,,
"4976,0,0",,"4976,0,0"
,,
"4976,0,0",,"4976,0,0"
,,
"4976,0,0",,"4976,0,0"
,,
"4976,0,0",,"4976,0,0"
,,
"4976,0,0",,"4976,0,0"
,,
"4976,0,0",,"4976,0,0"
,,
"4977,2,5",,"4977,-2,0"
,,
"4977,0,0",,"4977,0,0"
,,
"4977,0,0",,"4977,0,0"
,,
"4977,0,0",,"4977,0,0"
,,
"4977,0,0",,"4977,0,0"
,,
"4977,0,0",,"4977,0,0"
,,
"4977,0,0",,"4977,0,0"
,,
"4977,0,0",,"4977,0,0"
,,
"4977,0,0",,"4977,0,0"
,,
"4978,0,0",,"4978,0,0"
,,
"4978,0,0",,"4978,0,0"
,,
"4978,0,0",,"4978,0,0"
,,
"4978,0,0",,"4978,0,0"
,,
"4978,0,0",,"4978,0,0"
,,
"4978,0,0",,"4978,0,0"
,,
"4978,0,0",,"4978,0,0"
,,
"4978,0,0",,"4978,0,0"
,,
"4978,0,0",,"4978,0,0"
,,
"4979,0,0",,"4979,0,0"
,,
"4979,0,0",,"4979,0,0"
,,
"4979,0,0",,"4979,0,0"
,,
"4979,0,0",,"4979,0,0"
,,
"4979,0,0",,"4979,0,0"
,,
"4979,0,0",,"4979,0,0"
,,
"4979,0,0",,"4979,0,0"
,,
"4979,0,0",,"4979,0,0"
,,
"4979,0,0",,"4979,0,0"
,,
"4980,0,0",,"4980,0,0"
,,
"4980,0,0",,"4980,0,0"
,,
"4980,0,0",,"4980,0,0"
,,
"4980,0,0",,"4980,0,0"
,,
"4980,0,0",,"4980,0,0"
,,
"4980,0,0",,"4980,0,0"
,,
"4980,0,0",,"4980,0,0"
,,
"4980,0,0",,"4980,0,0"
,,
"4980,0,0",,"4980,0,0"
,,
"4981,0,0",,"4981,0,0"
,,
"4981,0,0",,"4981,0,0"
,,
"4981,0,0",,"4981,0,0"
,,
"4981,0,0",,"4981,0,0"
,,
"4981,0,0",,"4981,0,0"
,,
"4981,0,0",,"4981,0,0"
,,
"4981,0,0",,"4981,0,0"
,,
"4981,0,0",,"4981,0,0"
,,
"4981,0,0",,"4981,0,0"
,,
"4982,1,6",,"4982,-1,0"
,,
"4982,0,0",,"4982,0,0"
,,
"4982,0,0",,"4982,0,0"
,,
"4982,0,0",,"4982,0,0"
,,
"4982,0,0",,"4982,0,0"
,,
"4982,0,0",,"4982,0,0"
,,
"4982,0,0",,"4982,0,0"
,,
"4982,0,0",,"4982,0,0"
,,
"4982,0,0",,"4982,0,0"
,,
"4983,0,0",,"4983,0,0"
,,
"4983,0,0",,"4983,0,0"
,,
"4983,0,0",,"4983,0,0"
,,
"4983,0,0",,"4983,0,0"
,,
"4983,0,0",,"4983,0,0"
,,
"4983,0,0",,"4983,0,0"
,,
"4983,0,0",,"4983,0,0"
,,
"4983,0,0",,"4983,0,0"
,,
"4983,0,0",,"4983,0,0"
,,
"4984,0,0",,"4984,0,0"
,,
"4984,0,0",,"4984,0,0"
,,
"4984,0,0",,"4984,0,0"
,,
"4984,0,0",,"4984,0,0"
,,
"4984,0,0",,"4984,0,0"
,,
"4984,0,0",,"4984,0,0"
,,
"4984,0,0",,"4984,0,0"
,,
"4984,0,0",,"4984,0,0"
,,
"4984,0,0",,"4984,0,0"
,,
"4985,2,5",,"4985,-2,0"
,,
"4985,0,0",,"4985,0,0"
,,
"4985,0,0",,"4985,0,0"
,,
"4985,0,0",,"4985,0,0"
,,
"4985,0,0",,"4985,0,0"
,,
"4985,0,0",,"4985,0,0"
,,
"4985,0,0",,"4985,0,0"
,,
"4985,0,0",,"4985,0,0"
,,
"4985,0,0",,"4985,0,0"
,,
"4986,0,0",,"4986,0,0"
,,
"4986,0,0",,"4986,0,0"
,,
"4986,0,0",,"4986,0,0"
,,
"4986,0,0",,"4986,0,0"
,,
"4986,0,0",,"4986,0,0"
,,
"4986,0,0",,"4986,0,0"
,,
"4986,0,0",,"4986,0,0"
,,
"4986,0,0",,"4986,0,0"
,,
"4986,0,0",,"4986,0,0"
,,
"4987,0,0",,"4987,0,0"
,,
"4987,0,0",,"4987,0,0"
,,
"4987,0,0",,"4987,0,0"
,,
"4987,0,0",,"4987,0,0"
,,
"4987,0,0",,"4987,0,0"
,,
"4987,0,0",,"4987,0,0"
,,
"4987,0,0",,"4987,0,0"
,,
"4987,0,0",,"4987,0,0"
,,
"4987,0,0",,"4987,0,0"
,,
"4988,0,0",,"4988,0,0"
,,
"4988,0,0",,"4988,0,0"
,,
"4988,0,0",,"4988,0,0"
,,
"4988,0,0",,"4988,0,0"
,,
"4988,0,0",,"4988,0,0"
,,
"4988,0,0",,"4988,0,0"
,,
"4988,0,0",,"4988,0,0"
,,
"4988,0,0",,"4988,0,0"
,,
"4988,0,0",,"4988,0,0"
,,
"4989,0,0",,"4989,0,0"
,,
"4989,0,0",,"4989,0,0"
,,
"4989,0,0",,"4989,0,0"
,,
"4989,0,0",,"4989,0,0"
,,
"4989,0,0",,"4989,0,0"
,,
"4989,0,0",,"4989,0,0"
,,
"4989,0,0",,"4989,0,0"
,,
"4989,0,0",,"4989,0,0"
,,
"4989,0,0",,"4989,0,0"
,,
"4990,0,0",,"4990,0,0"
,,
"4990,0,0",,"4990,0,0"
,,
"4990,0,0",,"4990,0,0"
,,
"4990,0,0",,"4990,0,0"
,,
"4990,0,0",,"4990,0,0"
,,
"4990,0,0",,"4990,0,0"
,,
"4990,0,0",,"4990,0,0"
,,
"4990,0,0",,"4990,0,0"
,,
"4990,0,0",,"4990,0,0"
,,
"4991,0,0",,"4991,0,0"
,,
"4991,0,0",,"4991,0,0"
,,
"4991,0,0",,"4991,0,0"
,,
"4991,0,0",,"4991,0,0"
,,
"4991,0,0",,"4991,0,0"
,,
"4991,0,0",,"4991,0,0"
,,
"4991,0,0",,"4991,0,0"
,,
"4991,0,0",,"4991,0,0"
,,
"4991,0,0",,"4991,0,0"
,,
"4992,0,0",,"4992,0,0"
,,
"4992,0,0",,"4992,0,0"
,,
"4992,0,0",,"4992,0,0"
,,
"4992,0,0",,"4992,0,0"
,,
"4992,0,0",,"4992,0,0"
,,
"4992,0,0",,"4992,0,0"
,,
"4992,0,0",,"4992,0,0"
,,
"4992,0,0",,"4992,0,0"
,,
"4992,0,0",,"4992,0,0"
,,
"4993,0,0",,"4993,0,0"
,,
"4993,0,0",,"4993,0,0"
,,
"4993,0,0",,"4993,0,0"
,,
"4993,0,0",,"4993,0,0"
,,
"4993,0,0",,"4993,0,0"
,,
"4993,0,0",,"4993,0,0"
,,
"4993,0,0",,"4993,0,0"
,,
"4993,0,0",,"4993,0,0"
,,
"4993,0,0",,"4993,0,0"
,,
"4994,0,0",,"4994,0,0"
,,
"4994,0,0",,"4994,0,0"
,,
"4994,0,0",,"4994,0,0"
,,
"4994,0,0",,"4994,0,0"
,,
"4994,0,0",,"4994,0,0"
,,
"4994,0,0",,"4994,0,0"
,,
"4994,0,0",,"4994,0,0"
,,
"4994,0,0",,"4994,0,0"
,,
"4994,0,0",,"4994,0,0"
,,
"4995,0,0",,"4995,0,0"
,,
"4995,0,0",,"4995,0,0"
,,
"4995,0,0",,"4995,0,0"
,,
"4995,0,0",,"4995,0,0"
,,
"4995,0,0",,"4995,0,0"
,,
"4995,0,0",,"4995,0,0"
,,
"4995,0,0",,"4995,0,0"
,,
"4995,0,0",,"4995,0,0"
,,
"4995,0,0",,"4995,0,0"
,,
"4996,0,0",,"4996,0,0"
,,
"4996,0,0",,"4996,0,0"
,,
"4996,0,0",,"4996,0,0"
,,
"4996,0,0",,"4996,0,0"
,,
"4996,0,0",,"4996,0,0"
,,
"4996,0,0",,"4996,0,0"
,,
"4996,0,0",,"4996,0,0"
,,
"4996,0,0",,"4996,0,0"
,,
"4996,0,0",,"4996,0,0"
,,
"4997,0,0",,"4997,0,0"
,,
"4997,0,0",,"4997,0,0"
,,
"4997,0,0",,"4997,0,0"
,,
"4997,0,0",,"4997,0,0"
,,
"4997,0,0",,"4997,0,0"
,,
"4997,0,0",,"4997,0,0"
,,
"4997,0,0",,"4997,0,0"
,,
"4997,0,0",,"4997,0,0"
,,
"4997,0,0",,"4997,0,0"
,,
"4998,0,0",,"4998,0,0"
,,
"4998,0,0",,"4998,0,0"
,,
"4998,0,0",,"4998,0,0"
,,
"4998,0,0",,"4998,0,0"
,,
"4998,0,0",,"4998,0,0"
,,
"4998,0,0",,"4998,0,0"
,,
"4998,0,0",,"4998,0,0"
,,
"4998,0,0",,"4998,0,0"
,,
"4998,0,0",,"4998,0,0"
,,
"4999,0,0",,"4999,0,0"
,,
"4999,0,0",,"4999,0,0"
,,
"4999,0,0",,"4999,0,0"
,,
"4999,0,0",,"4999,0,0"
,,
"4999,0,0",,"4999,0,0"
,,
"4999,0,0",,"4999,0,0"
,,
"4999,0,0",,"4999,0,0"
,,
"4999,0,0",,"4999,0,0"
,,
"4999,0,0",,"4999,0,0"
,,
"5000,0,0",,"5000,0,0"
,,
"5000,0,0",,"5000,0,0"
,,
"5000,0,0",,"5000,0,0"
,,
"5000,0,0",,"5000,0,0"
,,
"5000,0,0",,"5000,0,0"
,,
"5000,0,0",,"5000,0,0"
,,
"5000,0,0",,"5000,0,0"
,,
"5000,0,0",,"5000,0,0"
,,
"5000,0,0",,"5000,0,0"
,,
"5001,0,0",,"5001,0,0"
,,
"5001,0,0",,"5001,0,0"
,,
"5001,0,0",,"5001,0,0"
,,
"5001,0,0",,"5001,0,0"
,,
"5001,0,0",,"5001,0,0"
,,
"5001,0,0",,"5001,0,0"
,,
"5001,0,0",,"5001,0,0"
,,
"5001,0,0",,"5001,0,0"
,,
"5001,0,0",,"5001,0,0"
,,
"5002,0,0",,"5002,0,0"
,,
"5002,0,0",,"5002,0,0"
,,
"5002,0,0",,"5002,0,0"
,,
"5002,0,0",,"5002,0,0"
,,
"5002,0,0",,"5002,0,0"
,,
"5002,0,0",,"5002,0,0"
,,
"5002,0,0",,"5002,0,0"
,,
"5002,0,0",,"5002,0,0"
,,
"5002,0,0",,"5002,0,0"
,,
"5003,0,0",,"5003,0,0"
,,
"5003,0,0",,"5003,0,0"
,,
"5003,0,0",,"5003,0,0"
,,
"5003,0,0",,"5003,0,0"
,,
"5003,0,0",,"5003,0,0"
,,
"5003,0,0",,"5003,0,0"
,,
"5003,0,0",,"5003,0,0"
,,
"5003,0,0",,"5003,0,0"
,,
"5003,0,0",,"5003,0,0"
,,
"5004,0,0",,"5004,0,0"
,,
"5004,0,0",,"5004,0,0"
,,
"5004,0,0",,"5004,0,0"
,,
"5004,0,0",,"5004,0,0"
,,
"5004,0,0",,"5004,0,0"
,,
"5004,0,0",,"5004,0,0"
,,
"5004,0,0",,"5004,0,0"
,,
"5004,0,0",,"5004,0,0"
,,
"5004,0,0",,"5004,0,0"
,,
"5005,0,0",,"5005,0,0"
,,
"5005,0,0",,"5005,0,0"
,,
"5005,0,0",,"5005,0,0"
,,
"5005,0,0",,"5005,0,0"
,,
"5005,0,0",,"5005,0,0"
,,
"5005,0,0",,"5005,0,0"
,,
"5005,0,0",,"5005,0,0"
,,
"5005,0,0",,"5005,0,0"
,,
"5005,0,0",,"5005,0,0"
,,
"5006,0,0",,"5006,0,0"
,,
"5006,0,0",,"5006,0,0"
,,
"5006,0,0",,"5006,0,0"
,,
"5006,0,0",,"5006,0,0"
,,
"5006,0,0",,"5006,0,0"
,,
"5006,0,0",,"5006,0,0"
,,
"5006,0,0",,"5006,0,0"
,,
"5006,0,0",,"5006,0,0"
,,
"5006,0,0",,"5006,0,0"
,,
"5007,0,0",,"5007,0,0"
,,
"5007,0,0",,"5007,0,0"
,,
"5007,0,0",,"5007,0,0"
,,
"5007,0,0",,"5007,0,0"
,,
"5007,0,0",,"5007,0,0"
,,
"5007,0,0",,"5007,0,0"
,,
"5007,0,0",,"5007,0,0"
,,
"5007,0,0",,"5007,0,0"
,,
"5007,0,0",,"5007,0,0"
,,
"5008,-2,0",,"5008,2,5"
,,
"5008,1,6",,"5008,-1,0"
,,
"5008,1,6",,"5008,-1,0"
,,
"5008,0,0",,"5008,0,0"
,,
"5008,0,0",,"5008,0,0"
,,
"5008,0,0",,"5008,0,0"
,,
"5008,0,0",,"5008,0,0"
,,
"5008,0,0",,"5008,0,0"
,,
"5008,0,0",,"5008,0,0"
,,
"5009,0,0",,"5009,0,0"
,,
"5009,1,6",,"5009,-1,0"
,,
"5009,0,0",,"5009,0,0"
,,
"5009,0,0",,"5009,0,0"
,,
"5009,0,0",,"5009,0,0"
,,
"5009,0,0",,"5009,0,0"
,,
"5009,0,0",,"5009,0,0"
,,
"5009,0,0",,"5009,0,0"
,,
"5009,0,0",,"5009,0,0"
,,
"5010,0,0",,"5010,0,0"
,,
"5010,0,0",,"5010,0,0"
,,
"5010,0,0",,"5010,0,0"
,,
"5010,0,0",,"5010,0,0"
,,
"5010,0,0",,"5010,0,0"
,,
"5010,0,0",,"5010,0,0"
,,
"5010,0,0",,"5010,0,0"
,,
"5010,0,0",,"5010,0,0"
,,
"5010,0,0",,"5010,0,0"
,,
"5011,2,5",,"5011,-2,0"
,,
"5011,0,0",,"5011,0,0"
,,
"5011,0,0",,"5011,0,0"
,,
"5011,0,0",,"5011,0,0"
,,
"5011,0,0",,"5011,0,0"
,,
"5011,0,0",,"5011,0,0"
,,
"5011,0,0",,"5011,0,0"
,,
"5011,0,0",,"5011,0,0"
,,
"5011,0,0",,"5011,0,0"
,,
"5012,0,0",,"5012,0,0"
,,
"5012,0,0",,"5012,0,0"
,,
"5012,0,0",,"5012,0,0"
,,
"5012,0,0",,"5012,0,0"
,,
"5012,0,0",,"5012,0,0"
,,
"5012,0,0",,"5012,0,0"
,,
"5012,0,0",,"5012,0,0"
,,
"5012,0,0",,"5012,0,0"
,,
"5012,0,0",,"5012,0,0"
,,
"5013,0,0",,"5013,0,0"
,,
"5013,0,0",,"5013,0,0"
,,
"5013,0,0",,"5013,0,0"
,,
"5013,0,0",,"5013,0,0"
,,
"5013,0,0",,"5013,0,0"
,,
"5013,0,0",,"5013,0,0"
,,
"5013,0,0",,"5013,0,0"
,,
"5013,0,0",,"5013,0,0"
,,
"5013,0,0",,"5013,0,0"
,,
"5014,0,0",,"5014,0,0"
,,
"5014,0,0",,"5014,0,0"
,,
"5014,0,0",,"5014,0,0"
,,
"5014,0,0",,"5014,0,0"
,,
"5014,0,0",,"5014,0,0"
,,
"5014,0,0",,"5014,0,0"
,,
"5014,0,0",,"5014,0,0"
,,
"5014,0,0",,"5014,0,0"
,,
"5014,0,0",,"5014,0,0"
,,
"5015,2,5",,"5015,-2,0"
,,
"5015,0,0",,"5015,0,0"
,,
"5015,0,0",,"5015,0,0"
,,
"5015,0,0",,"5015,0,0"
,,
"5015,0,0",,"5015,0,0"
,,
"5015,0,0",,"5015,0,0"
,,
"5015,0,0",,"5015,0,0"
,,
"5015,0,0",,"5015,0,0"
,,
"5015,0,0",,"5015,0,0"
,,
"5016,0,0",,"5016,0,0"
,,
"5016,0,0",,"5016,0,0"
,,
"5016,0,0",,"5016,0,0"
,,
"5016,0,0",,"5016,0,0"
,,
"5016,0,0",,"5016,0,0"
,,
"5016,0,0",,"5016,0,0"
,,
"5016,0,0",,"5016,0,0"
,,
"5016,0,0",,"5016,0,0"
,,
"5016,0,0",,"5016,0,0"
,,
"5017,2,5",,"5017,-2,0"
,,
"5017,0,0",,"5017,0,0"
,,
"5017,0,0",,"5017,0,0"
,,
"5017,0,0",,"5017,0,0"
,,
"5017,0,0",,"5017,0,0"
,,
"5017,0,0",,"5017,0,0"
,,
"5017,0,0",,"5017,0,0"
,,
"5017,0,0",,"5017,0,0"
,,
"5017,0,0",,"5017,0,0"
,,
"5018,2,5",,"5018,-2,0"
,,
"5018,0,0",,"5018,0,0"
,,
"5018,0,0",,"5018,0,0"
,,
"5018,0,0",,"5018,0,0"
,,
"5018,0,0",,"5018,0,0"
,,
"5018,0,0",,"5018,0,0"
,,
"5018,0,0",,"5018,0,0"
,,
"5018,0,0",,"5018,0,0"
,,
"5018,0,0",,"5018,0,0"
,,
"5019,-1,0",,"5019,1,6"
,,
"5019,1,6",,"5019,-1,0"
,,
"5019,0,0",,"5019,0,0"
,,
"5019,0,0",,"5019,0,0"
,,
"5019,0,0",,"5019,0,0"
,,
"5019,0,0",,"5019,0,0"
,,
"5019,0,0",,"5019,0,0"
,,
"5019,0,0",,"5019,0,0"
,,
"5019,0,0",,"5019,0,0"
,,
"5020,0,0",,"5020,0,0"
,,
"5020,0,0",,"5020,0,0"
,,
"5020,0,0",,"5020,0,0"
,,
"5020,0,0",,"5020,0,0"
,,
"5020,0,0",,"5020,0,0"
,,
"5020,0,0",,"5020,0,0"
,,
"5020,0,0",,"5020,0,0"
,,
"5020,0,0",,"5020,0,0"
,,
"5020,0,0",,"5020,0,0"
,,
"5021,0,0",,"5021,0,0"
,,
"5021,0,0",,"5021,0,0"
,,
"5021,0,0",,"5021,0,0"
,,
"5021,0,0",,"5021,0,0"
,,
"5021,0,0",,"5021,0,0"
,,
"5021,0,0",,"5021,0,0"
,,
"5021,0,0",,"5021,0,0"
,,
"5021,0,0",,"5021,0,0"
,,
"5021,0,0",,"5021,0,0"
,,
"5022,0,0",,"5022,0,0"
,,
"5022,0,0",,"5022,0,0"
,,
"5022,0,0",,"5022,0,0"
,,
"5022,0,0",,"5022,0,0"
,,
"5022,0,0",,"5022,0,0"
,,
"5022,0,0",,"5022,0,0"
,,
"5022,0,0",,"5022,0,0"
,,
"5022,0,0",,"5022,0,0"
,,
"5022,0,0",,"5022,0,0"
,,
"5023,1,6",,"5023,-1,0"
,,
"5023,0,0",,"5023,0,0"
,,
"5023,0,0",,"5023,0,0"
,,
"5023,0,0",,"5023,0,0"
,,
"5023,0,0",,"5023,0,0"
,,
"5023,0,0",,"5023,0,0"
,,
"5023,0,0",,"5023,0,0"
,,
"5023,0,0",,"5023,0,0"
,,
"5023,0,0",,"5023,0,0"
,,
"5024,0,0",,"5024,0,0"
,,
"5024,0,0",,"5024,0,0"
,,
"5024,0,0",,"5024,0,0"
,,
"5024,0,0",,"5024,0,0"
,,
"5024,0,0",,"5024,0,0"
,,
"5024,0,0",,"5024,0,0"
,,
"5024,0,0",,"5024,0,0"
,,
"5024,0,0",,"5024,0,0"
,,
"5024,0,0",,"5024,0,0"
,,
"5025,0,0",,"5025,0,0"
,,
"5025,0,0",,"5025,0,0"
,,
"5025,0,0",,"5025,0,0"
,,
"5025,0,0",,"5025,0,0"
,,
"5025,0,0",,"5025,0,0"
,,
"5025,0,0",,"5025,0,0"
,,
"5025,0,0",,"5025,0,0"
,,
"5025,0,0",,"5025,0,0"
,,
"5025,0,0",,"5025,0,0"
,,
"5026,0,0",,"5026,0,0"
,,
"5026,0,0",,"5026,0,0"
,,
"5026,0,0",,"5026,0,0"
,,
"5026,0,0",,"5026,0,0"
,,
"5026,0,0",,"5026,0,0"
,,
"5026,0,0",,"5026,0,0"
,,
"5026,0,0",,"5026,0,0"
,,
"5026,0,0",,"5026,0,0"
,,
"5026,0,0",,"5026,0,0"
,,
"5027,3,4",,"5027,-3,0"
,,
"5027,0,0",,"5027,0,0"
,,
"5027,0,0",,"5027,0,0"
,,
"5027,0,0",,"5027,0,0"
,,
"5027,0,0",,"5027,0,0"
,,
"5027,0,0",,"5027,0,0"
,,
"5027,0,0",,"5027,0,0"
,,
"5027,0,0",,"5027,0,0"
,,
"5027,0,0",,"5027,0,0"
,,
"5028,1,6",,"5028,-1,0"
,,
"5028,0,0",,"5028,0,0"
,,
"5028,0,0",,"5028,0,0"
,,
"5028,0,0",,"5028,0,0"
,,
"5028,0,0",,"5028,0,0"
,,
"5028,0,0",,"5028,0,0"
,,
"5028,0,0",,"5028,0,0"
,,
"5028,0,0",,"5028,0,0"
,,
"5028,0,0",,"5028,0,0"
,,
"5029,0,0",,"5029,0,0"
,,
"5029,0,0",,"5029,0,0"
,,
"5029,0,0",,"5029,0,0"
,,
"5029,0,0",,"5029,0,0"
,,
"5029,0,0",,"5029,0,0"
,,
"5029,0,0",,"5029,0,0"
,,
"5029,0,0",,"5029,0,0"
,,
"5029,0,0",,"5029,0,0"
,,
"5029,0,0",,"5029,0,0"
,,
"5030,0,0",,"5030,0,0"
,,
"5030,0,0",,"5030,0,0"
,,
"5030,0,0",,"5030,0,0"
,,
"5030,0,0",,"5030,0,0"
,,
"5030,0,0",,"5030,0,0"
,,
"5030,0,0",,"5030,0,0"
,,
"5030,0,0",,"5030,0,0"
,,
"5030,0,0",,"5030,0,0"
,,
"5030,0,0",,"5030,0,0"
,,
"5031,0,0",,"5031,0,0"
,,
"5031,0,0",,"5031,0,0"
,,
"5031,0,0",,"5031,0,0"
,,
"5031,0,0",,"5031,0,0"
,,
"5031,0,0",,"5031,0,0"
,,
"5031,0,0",,"5031,0,0"
,,
"5031,0,0",,"5031,0,0"
,,
"5031,0,0",,"5031,0,0"
,,
"5031,0,0",,"5031,0,0"
,,
"5032,0,0",,"5032,0,0"
,,
"5032,0,0",,"5032,0,0"
,,
"5032,0,0",,"5032,0,0"
,,
"5032,0,0",,"5032,0,0"
,,
"5032,0,0",,"5032,0,0"
,,
"5032,0,0",,"5032,0,0"
,,
"5032,0,0",,"5032,0,0"
,,
"5032,0,0",,"5032,0,0"
,,
"5032,0,0",,"5032,0,0"
,,
"5033,0,0",,"5033,0,0"
,,
"5033,0,0",,"5033,0,0"
,,
"5033,0,0",,"5033,0,0"
,,
"5033,0,0",,"5033,0,0"
,,
"5033,0,0",,"5033,0,0"
,,
"5033,0,0",,"5033,0,0"
,,
"5033,0,0",,"5033,0,0"
,,
"5033,0,0",,"5033,0,0"
,,
"5033,0,0",,"5033,0,0"
,,
"5034,0,0",,"5034,0,0"
,,
"5034,0,0",,"5034,0,0"
,,
"5034,0,0",,"5034,0,0"
,,
"5034,0,0",,"5034,0,0"
,,
"5034,0,0",,"5034,0,0"
,,
"5034,0,0",,"5034,0,0"
,,
"5034,0,0",,"5034,0,0"
,,
"5034,0,0",,"5034,0,0"
,,
"5034,0,0",,"5034,0,0"
,,
"5035,2,5",,"5035,-2,0"
,,
"5035,1,6",,"5035,-1,0"
,,
"5035,-2,0",,"5035,2,5"
,,
"5035,0,0",,"5035,0,0"
,,
"5035,0,0",,"5035,0,0"
,,
"5035,0,0",,"5035,0,0"
,,
"5035,0,0",,"5035,0,0"
,,
"5035,0,0",,"5035,0,0"
,,
"5035,0,0",,"5035,0,0"
,,
"5036,1,6",,"5036,-1,0"
,,
"5036,0,0",,"5036,0,0"
,,
"5036,0,0",,"5036,0,0"
,,
"5036,0,0",,"5036,0,0"
,,
"5036,0,0",,"5036,0,0"
,,
"5036,0,0",,"5036,0,0"
,,
"5036,0,0",,"5036,0,0"
,,
"5036,0,0",,"5036,0,0"
,,
"5036,0,0",,"5036,0,0"
,,
"5037,1,6",,"5037,-1,0"
,,
"5037,0,0",,"5037,0,0"
,,
"5037,0,0",,"5037,0,0"
,,
"5037,0,0",,"5037,0,0"
,,
"5037,0,0",,"5037,0,0"
,,
"5037,0,0",,"5037,0,0"
,,
"5037,0,0",,"5037,0,0"
,,
"5037,0,0",,"5037,0,0"
,,
"5037,0,0",,"5037,0,0"
,,
"5038,1,6",,"5038,-1,0"
,,
"5038,0,0",,"5038,0,0"
,,
"5038,0,0",,"5038,0,0"
,,
"5038,0,0",,"5038,0,0"
,,
"5038,0,0",,"5038,0,0"
,,
"5038,0,0",,"5038,0,0"
,,
"5038,0,0",,"5038,0,0"
,,
"5038,0,0",,"5038,0,0"
,,
"5038,0,0",,"5038,0,0"
,,
"5039,1,6",,"5039,-1,0"
,,
